,model,threshold,split_1,split_2,accuracy,human effort
173,Random Forest,0.99,0.4,0.1,99.81798325,76.73825992
179,Random Forest,0.99,0.4,0.15,99.74517656,77.75755369
165,Random Forest,0.99,0.25,0.08,99.70877321,70.76811067
167,Random Forest,0.99,0.4,0.08,99.70877321,76.26501638
171,Random Forest,0.99,0.25,0.1,99.70877321,71.09574081
153,Random Forest,0.99,0.25,0.03,99.63596651,68.18347288
161,Random Forest,0.99,0.4,0.05,99.63596651,74.95449581
164,Random Forest,0.99,0.2,0.08,99.63596651,68.36548963
166,Random Forest,0.99,0.3,0.08,99.63596651,72.51547142
170,Random Forest,0.99,0.2,0.1,99.63596651,68.83873316
172,Random Forest,0.99,0.3,0.1,99.63596651,73.4619585
176,Random Forest,0.99,0.2,0.15,99.63596651,70.47688387
178,Random Forest,0.99,0.3,0.15,99.63596651,74.40844558
149,Random Forest,0.99,0.4,0.01,99.59956316,72.18784128
155,Random Forest,0.99,0.4,0.03,99.59956316,73.6075719
160,Random Forest,0.99,0.3,0.05,99.59956316,71.4597743
174,Random Forest,0.99,0.1,0.15,99.59956316,64.90717146
162,Random Forest,0.99,0.1,0.08,99.56315981,61.84929013
175,Random Forest,0.99,0.15,0.15,99.56315981,67.34619585
177,Random Forest,0.99,0.25,0.15,99.56315981,71.89661449
147,Random Forest,0.99,0.25,0.01,99.52675646,64.79796141
154,Random Forest,0.99,0.3,0.03,99.52675646,69.60320349
158,Random Forest,0.99,0.2,0.05,99.52675646,66.50891882
159,Random Forest,0.99,0.25,0.05,99.52675646,68.80232981
168,Random Forest,0.99,0.1,0.1,99.52675646,62.72297051
156,Random Forest,0.99,0.1,0.05,99.49035311,59.59228249
157,Random Forest,0.99,0.15,0.05,99.49035311,63.19621405
169,Random Forest,0.99,0.15,0.1,99.49035311,65.41681835
148,Random Forest,0.99,0.3,0.01,99.45394976,67.34619585
163,Random Forest,0.99,0.15,0.08,99.45394976,64.54313797
152,Random Forest,0.99,0.2,0.03,99.41754641,64.36112122
150,Random Forest,0.99,0.1,0.03,99.38114307,58.06334183
151,Random Forest,0.99,0.15,0.03,99.34473972,60.61157627
145,Random Forest,0.99,0.15,0.01,99.30833637,57.91772843
146,Random Forest,0.99,0.2,0.01,99.30833637,61.52165999
143,Random Forest,0.95,0.4,0.15,99.27193302,64.57954132
144,Random Forest,0.99,0.1,0.01,99.23552967,54.20458682
131,Random Forest,0.95,0.4,0.08,99.19912632,63.2326174
137,Random Forest,0.95,0.4,0.1,99.19912632,63.70586094
119,Random Forest,0.95,0.4,0.03,99.08991627,61.70367674
125,Random Forest,0.95,0.4,0.05,99.01710957,62.39534037
141,Random Forest,0.95,0.25,0.15,99.01710957,56.24317437
142,Random Forest,0.95,0.3,0.15,98.98070622,58.97342556
135,Random Forest,0.95,0.25,0.1,98.94430288,55.1510739
136,Random Forest,0.95,0.3,0.1,98.94430288,57.88132508
113,Random Forest,0.95,0.4,0.01,98.83509283,60.10192938
118,Random Forest,0.95,0.3,0.03,98.79868948,55.1510739
124,Random Forest,0.95,0.3,0.05,98.79868948,55.98835093
130,Random Forest,0.95,0.3,0.08,98.79868948,57.37167819
129,Random Forest,0.95,0.25,0.08,98.72588278,53.94976338
140,Random Forest,0.95,0.2,0.15,98.68947943,51.47433564
117,Random Forest,0.95,0.25,0.03,98.65307608,52.02038588
123,Random Forest,0.95,0.25,0.05,98.65307608,52.8576629
134,Random Forest,0.95,0.2,0.1,98.61667273,50.30942847
128,Random Forest,0.95,0.2,0.08,98.58026938,49.69057153
138,Random Forest,0.95,0.1,0.15,98.58026938,45.17655624
111,Random Forest,0.95,0.25,0.01,98.54386604,49.58136149
132,Random Forest,0.95,0.1,0.1,98.54386604,43.46559884
107,Random Forest,0.9,0.4,0.15,98.50746269,57.48088824
122,Random Forest,0.95,0.2,0.05,98.50746269,48.74408446
139,Random Forest,0.95,0.15,0.15,98.50746269,46.48707681
112,Random Forest,0.95,0.3,0.01,98.47105934,52.82125956
95,Random Forest,0.9,0.4,0.08,98.43465599,56.64361121
121,Random Forest,0.95,0.15,0.05,98.43465599,43.72042228
126,Random Forest,0.95,0.1,0.08,98.43465599,42.26428831
101,Random Forest,0.9,0.4,0.1,98.39825264,56.68001456
89,Random Forest,0.9,0.4,0.05,98.36184929,55.84273753
106,Random Forest,0.9,0.3,0.15,98.36184929,50.89188205
116,Random Forest,0.95,0.2,0.03,98.36184929,47.1423371
127,Random Forest,0.95,0.15,0.08,98.36184929,44.81252275
133,Random Forest,0.95,0.15,0.1,98.32544594,45.24936294
94,Random Forest,0.9,0.3,0.08,98.28904259,49.65416818
100,Random Forest,0.9,0.3,0.1,98.28904259,50.12741172
120,Random Forest,0.95,0.1,0.05,98.28904259,40.66254095
110,Random Forest,0.95,0.2,0.01,98.25263924,45.54058973
83,Random Forest,0.9,0.4,0.03,98.21623589,55.11467055
88,Random Forest,0.9,0.3,0.05,98.21623589,48.9261012
105,Random Forest,0.9,0.25,0.15,98.21623589,47.39716054
114,Random Forest,0.95,0.1,0.03,98.17983254,39.24281034
99,Random Forest,0.9,0.25,0.1,98.10702585,46.48707681
104,Random Forest,0.9,0.2,0.15,98.0706225,43.79322898
71,Random Forest,0.85,0.4,0.15,98.03421915,53.87695668
115,Random Forest,0.95,0.15,0.03,98.03421915,41.46341463
65,Random Forest,0.85,0.4,0.1,97.96141245,53.2216964
70,Random Forest,0.85,0.3,0.15,97.96141245,46.08663997
77,Random Forest,0.9,0.4,0.01,97.96141245,54.13178012
82,Random Forest,0.9,0.3,0.03,97.96141245,47.46996724
76,Random Forest,0.9,0.3,0.01,97.9250091,46.52348016
53,Random Forest,0.85,0.4,0.05,97.88860575,52.38441937
93,Random Forest,0.9,0.25,0.08,97.88860575,45.39497634
59,Random Forest,0.85,0.4,0.08,97.8522024,52.82125956
