model,accuracy,config
SVM,0.91411936,"['PSNR', 'CS', 'SSIM']"
SVM,0.91411936,"['PSNR', 'CS', 'SSIM', 'CPL']"
SVM,0.911208151,"['PSNR', 'CS', 'CPL']"
random-forest,0.911208151,"['PSNR', 'CS', 'SSIM']"
logistic-regression,0.909752547,"['PSNR', 'CS', 'SSIM', 'CPL']"
SVM,0.908296943,"['CS', 'SSIM', 'CPL']"
logistic-regression,0.908296943,"['PSNR', 'CS', 'CPL']"
logistic-regression,0.908296943,"['PSNR', 'CS', 'SSIM']"
random-forest,0.908296943,"['PSNR', 'CS', 'SSIM', 'CPL']"
logistic-regression,0.906841339,"['CS', 'SSIM', 'CPL']"
random-forest,0.905385735,"['CS', 'SSIM', 'CPL']"
random-forest,0.903930131,"['PSNR', 'CS', 'CPL']"
decision-tree,0.873362445,"['CS', 'SSIM', 'CPL']"
decision-tree,0.864628821,"['PSNR', 'CS', 'SSIM']"
decision-tree,0.861717613,"['PSNR', 'CS', 'CPL']"
decision-tree,0.852983988,"['PSNR', 'CS', 'SSIM', 'CPL']"
SVM,0.819505095,"['PSNR', 'SSIM', 'CPL']"
random-forest,0.81077147,"['PSNR', 'SSIM', 'CPL']"
logistic-regression,0.807860262,"['PSNR', 'SSIM', 'CPL']"
decision-tree,0.762736536,"['PSNR', 'SSIM', 'CPL']"
