model,accuracy,config
SVM,0.85,"['CS', 'KL', 'CPL']"
SVM,0.85,"['Hist_int', 'CS', 'CPL']"
random-forest,0.84,"['CS', 'KL', 'CPL']"
SVM,0.84,"['Hist_int', 'CS', 'KL', 'CPL']"
logistic-regression,0.82,"['Hist_int', 'CS', 'CPL']"
random-forest,0.82,"['Hist_int', 'CS', 'CPL']"
logistic-regression,0.82,"['Hist_int', 'CS', 'KL', 'CPL']"
logistic-regression,0.81,"['CS', 'KL', 'CPL']"
random-forest,0.81,"['Hist_int', 'CS', 'KL', 'CPL']"
logistic-regression,0.8,"['Hist_int', 'KL', 'CPL']"
SVM,0.79,"['Hist_int', 'KL', 'CPL']"
random-forest,0.79,"['Hist_int', 'KL', 'CPL']"
decision-tree,0.79,"['Hist_int', 'CS', 'CPL']"
logistic-regression,0.79,"['Hist_int', 'CS', 'KL']"
SVM,0.79,"['Hist_int', 'CS', 'KL']"
decision-tree,0.78,"['CS', 'KL', 'CPL']"
decision-tree,0.78,"['Hist_int', 'CS', 'KL', 'CPL']"
random-forest,0.73,"['Hist_int', 'CS', 'KL']"
decision-tree,0.72,"['Hist_int', 'KL', 'CPL']"
decision-tree,0.66,"['Hist_int', 'CS', 'KL']"
