,model,threshold,split_1,split_2,accuracy,_precision,_recall,human effort,effort,small accuracy,precision,recall
0,Random Forest,0.8,0.1,0.05,97.45364648,97.30740464,98.82263578,0.25,26.27935723,0.974536465,0.973074046,0.988226358
1,Random Forest,0.8,0.1,0.05,96.63782447,96.18941916,98.74667679,0.25,24.84548826,0.966378245,0.961894192,0.987466768
2,Random Forest,0.8,0.1,0.05,96.83559951,96.50946899,98.7086973,0.25,24.10383189,0.968355995,0.96509469,0.987086973
3,Random Forest,0.8,0.1,0.05,97.03337454,97.254607,98.21496392,0.25,25.01854141,0.970333745,0.97254607,0.982149639
4,Random Forest,0.8,0.1,0.05,97.4289246,97.13007827,98.97455374,0.25,26.0815822,0.974289246,0.971300783,0.989745537
5,Random Forest,0.8,0.1,0.05,96.39060569,96.10678532,98.44284087,0.25,23.43634116,0.963906057,0.961067853,0.984428409
6,Random Forest,0.8,0.1,0.05,97.03337454,96.79702048,98.7086973,0.25,24.52410383,0.970333745,0.967970205,0.987086973
7,Random Forest,0.8,0.1,0.05,96.58838072,96.63551402,98.17698443,0.25,23.70828183,0.965883807,0.96635514,0.981769844
8,Random Forest,0.8,0.1,0.05,96.90976514,96.58246657,98.74667679,0.25,24.64771323,0.969097651,0.965824666,0.987466768
9,Random Forest,0.8,0.1,0.05,96.68726823,96.71028037,98.25294341,0.25,23.9802225,0.966872682,0.967102804,0.982529434
10,Random Forest,0.8,0.1,0.05,97.60197775,97.20774386,99.1644512,0.25,27.24351051,0.976019778,0.972077439,0.991644512
11,Random Forest,0.8,0.1,0.05,96.44004944,96.73300789,97.83516901,0.25,22.89245983,0.964400494,0.967330079,0.97835169
12,Random Forest,0.8,0.1,0.05,96.83559951,96.16660523,99.08849221,0.25,23.53522868,0.968355995,0.961666052,0.990884922
13,Random Forest,0.8,0.1,0.05,97.10754017,97.04562453,98.55677934,0.25,25.29048208,0.971075402,0.970456245,0.985567793
14,Random Forest,0.8,0.1,0.05,97.45364648,97.0610119,99.08849221,0.25,25.95797281,0.974536465,0.970610119,0.990884922
15,Random Forest,0.8,0.1,0.05,96.39060569,96.27837737,98.25294341,0.25,22.29913473,0.963906057,0.962783774,0.982529434
16,Random Forest,0.8,0.1,0.05,96.56365884,95.81190301,99.05051272,0.25,23.75772559,0.965636588,0.95811903,0.990505127
17,Random Forest,0.8,0.1,0.05,96.58838072,96.56588279,98.25294341,0.25,22.79357231,0.965883807,0.965658828,0.982529434
18,Random Forest,0.8,0.1,0.05,96.73671199,96.160945,98.93657425,0.25,24.7960445,0.96736712,0.96160945,0.989365743
19,Random Forest,0.8,0.1,0.05,96.88504326,97.14178263,98.10102545,0.25,23.43634116,0.968850433,0.971417826,0.981010255
20,Random Forest,0.9,0.3,0.03,99.03584672,98.98036254,99.54424611,0.5,49.96291718,0.990358467,0.989803625,0.995442461
21,Random Forest,0.9,0.3,0.03,98.81334981,98.8657845,99.31636916,0.5,49.592089,0.988133498,0.988657845,0.993163692
22,Random Forest,0.9,0.3,0.03,99.0605686,98.90689785,99.65818458,0.5,50.25957973,0.990605686,0.989068979,0.996581846
23,Random Forest,0.9,0.3,0.03,99.08529048,99.27866363,99.31636916,0.5,50.70457355,0.990852905,0.992786636,0.993163692
24,Random Forest,0.9,0.3,0.03,98.93695921,98.7942728,99.5822256,0.5,49.27070457,0.989369592,0.987942728,0.995822256
25,Random Forest,0.9,0.3,0.03,98.73918418,98.90151515,99.1644512,0.5,49.76514215,0.987391842,0.989015152,0.991644512
26,Random Forest,0.9,0.3,0.03,98.83807169,98.86621315,99.35434865,0.5,49.34487021,0.988380717,0.988662132,0.993543487
27,Random Forest,0.9,0.3,0.03,99.11001236,99.01849755,99.62020509,0.5,50.43263288,0.991100124,0.990184976,0.996202051
28,Random Forest,0.9,0.3,0.03,98.81334981,98.93979553,99.24041018,0.5,48.60321384,0.988133498,0.989397955,0.992404102
29,Random Forest,0.9,0.3,0.03,99.11001236,98.90772128,99.73414356,0.5,50.18541409,0.991100124,0.989077213,0.997341436
