model,config,human effort,small accuracy,precision,recall
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.75,0.943675889,0.949253731,0.965098634
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.75,0.932806324,0.929824561,0.969512195
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.5,0.931290163,0.933576642,0.963828184
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.75,0.927865613,0.93883792,0.948995363
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.5,0.927829956,0.936437546,0.95478523
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.75,0.92687747,0.930232558,0.960960961
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.5,0.926347009,0.93052476,0.958143075
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.75,0.925889328,0.937869822,0.950524738
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.75,0.925889328,0.928902628,0.953968254
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1']",0.5,0.925852694,0.934220251,0.953962264
