,accuracy,_precision,_recall,human effort,threshold,F1-Score,small accuracy,precision,recall
0,89.6593674,89.55752212,95.11278195,0.25,0.248341191,0.922515953,0.896593674,0.895575221,0.95112782
1,88.07785888,86.846543,96.26168224,0.25,0.235095421,0.913120567,0.880778589,0.86846543,0.962616822
2,88.56447689,88.4751773,94.50757576,0.25,0.250962611,0.913919414,0.885644769,0.884751773,0.945075758
3,87.95620438,89.47368421,91.71483622,0.25,0.262590867,0.905803996,0.879562044,0.894736842,0.917148362
4,88.44282238,86.52246256,97.37827715,0.25,0.219871298,0.916299559,0.884428224,0.865224626,0.973782772
5,87.10462287,87.23021583,93.26923077,0.25,0.251024123,0.901486989,0.871046229,0.872302158,0.932692308
6,87.95620438,88.1508079,93.70229008,0.25,0.253784975,0.908418131,0.879562044,0.881508079,0.937022901
7,87.95620438,85.78512397,97.55639098,0.25,0.218510579,0.91292876,0.879562044,0.85785124,0.97556391
8,87.10462287,84.80801336,97.13193117,0.25,0.216700231,0.905525847,0.871046229,0.848080134,0.971319312
9,88.56447689,89.19925512,93.00970874,0.25,0.255620296,0.910646388,0.885644769,0.891992551,0.930097087
10,88.92944039,88.3882149,95.50561798,0.25,0.249711344,0.918091809,0.889294404,0.883882149,0.95505618
11,89.05109489,89.08765653,94.4971537,0.25,0.254357587,0.917127072,0.890510949,0.890876565,0.944971537
12,86.73965937,84.04605263,97.70554493,0.25,0.209679075,0.903625111,0.867396594,0.840460526,0.977055449
13,89.41605839,88.48167539,96.02272727,0.25,0.246290901,0.920980926,0.894160584,0.884816754,0.960227273
14,88.44282238,87.30964467,96.26865672,0.25,0.238683632,0.915705413,0.884428224,0.873096447,0.962686567
15,88.07785888,88.88888889,92.95238095,0.25,0.257963317,0.908752328,0.880778589,0.888888889,0.92952381
16,86.98296837,85.83473862,95.67669173,0.25,0.230292003,0.904888889,0.869829684,0.858347386,0.956766917
17,89.29440389,90.27027027,93.64485981,0.25,0.256934411,0.919266055,0.892944039,0.902702703,0.936448598
18,89.05109489,88.77192982,95.11278195,0.25,0.251140876,0.918330309,0.890510949,0.887719298,0.95112782
19,88.32116788,87.32394366,95.38461538,0.25,0.240792081,0.911764706,0.883211679,0.873239437,0.953846154
20,89.59854015,90.24390244,94.06779661,0.5,0.248341191,0.921161826,0.895985402,0.902439024,0.940677966
21,88.68613139,87.53246753,96.01139601,0.5,0.243392692,0.91576087,0.886861314,0.875324675,0.96011396
22,89.41605839,88.74680307,96.12188366,0.5,0.241211296,0.92287234,0.894160584,0.887468031,0.961218837
23,87.59124088,86.68407311,95.12893983,0.5,0.240891029,0.907103825,0.875912409,0.866840731,0.951289398
24,88.32116788,88.82833787,93.40974212,0.5,0.246642661,0.910614525,0.883211679,0.888283379,0.934097421
25,90.32846715,90.38961039,95.6043956,0.5,0.248341191,0.929238985,0.903284672,0.903896104,0.956043956
26,87.04379562,85.05154639,96.20991254,0.5,0.242324795,0.902872777,0.870437956,0.850515464,0.962099125
27,90.1459854,89.84771574,96.19565217,0.5,0.242324795,0.929133858,0.901459854,0.898477157,0.961956522
28,89.59854015,89.21832884,95.11494253,0.5,0.251888641,0.920723227,0.895985402,0.892183288,0.951149425
29,88.86861314,87.46736292,96.26436782,0.5,0.242324795,0.916552668,0.888686131,0.874673629,0.962643678
30,88.32116788,88.68421053,94.13407821,0.5,0.250637249,0.913279133,0.883211679,0.886842105,0.941340782
31,88.50364964,87.66404199,95.42857143,0.5,0.24466044,0.913816689,0.885036496,0.87664042,0.954285714
32,90.51094891,90.3307888,96.20596206,0.5,0.242324795,0.93175853,0.905109489,0.903307888,0.962059621
33,87.95620438,87.83068783,94.31818182,0.5,0.248341191,0.909589041,0.879562044,0.878306878,0.943181818
34,86.67883212,87.10526316,93.23943662,0.5,0.256614058,0.900680272,0.866788321,0.871052632,0.932394366
35,89.59854015,89.12466844,95.45454545,0.5,0.248886414,0.9218107,0.895985402,0.891246684,0.954545455
36,89.41605839,89.09090909,95.54317549,0.5,0.24466044,0.922043011,0.894160584,0.890909091,0.955431755
37,90.51094891,90.95607235,95.39295393,0.5,0.247905984,0.931216931,0.905109489,0.909560724,0.953929539
38,87.40875912,84.5,97.97101449,0.5,0.208799588,0.90738255,0.874087591,0.845,0.979710145
39,89.23357664,88.88888889,94.79768786,0.5,0.246488077,0.917482517,0.892335766,0.888888889,0.947976879
