,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,effort,F1,F1-Score,small accuracy
0,SVM,0.85,0.1,0.1,96.89781022,96.79665738,98.44192635,25.63868613,0.25,48.80617978,0.976123596,0.968978102
1,SVM,0.85,0.1,0.1,97.26277372,96.81440443,99.00849858,30.93065693,0.25,48.94957983,0.978991597,0.972627737
2,SVM,0.85,0.1,0.1,96.44160584,95.37414966,99.2917847,28.74087591,0.25,48.64677307,0.972935461,0.964416058
3,SVM,0.85,0.1,0.1,95.98540146,94.85094851,99.15014164,24.17883212,0.25,48.47645429,0.969529086,0.959854015
4,SVM,0.85,0.1,0.1,95.98540146,95.84487535,98.01699717,24.27007299,0.25,48.45938376,0.969187675,0.959854015
5,SVM,0.85,0.1,0.1,95.25547445,96.18644068,96.45892351,22.90145985,0.25,48.1612447,0.963224894,0.952554745
6,SVM,0.85,0.1,0.1,95.89416058,94.72259811,99.15014164,25.09124088,0.25,48.44290657,0.968858131,0.958941606
7,SVM,0.85,0.1,0.1,96.53284672,96.00550964,98.72521246,24.72627737,0.25,48.67318436,0.973463687,0.965328467
8,SVM,0.85,0.1,0.1,96.35036496,97.43589744,96.88385269,26.36861314,0.25,48.57954546,0.971590909,0.96350365
9,SVM,0.85,0.1,0.1,96.35036496,95.24456522,99.2917847,25.45620438,0.25,48.61303745,0.972260749,0.96350365
10,SVM,0.85,0.1,0.1,94.89051095,93.6827957,98.72521246,21.53284672,0.25,48.06896552,0.96137931,0.94890511
11,SVM,0.85,0.1,0.1,96.16788321,95.73002755,98.44192635,23.17518248,0.25,48.53351955,0.970670391,0.961678832
12,SVM,0.85,0.1,0.1,94.79927007,95.13212796,96.88385269,19.89051095,0.25,48,0.96,0.947992701
13,SVM,0.85,0.1,0.1,96.44160584,96.90576653,97.59206799,25.3649635,0.25,48.62385321,0.972477064,0.964416058
14,SVM,0.85,0.1,0.1,95.0729927,94.78021978,97.73371105,21.89781022,0.25,48.11715481,0.962343096,0.950729927
