,model,threshold,split_1,split_2,accuracy,_precision,_recall,effort,human effort,small accuracy,precision,recall
0,Random Forest,0.77,0.1,0.01,92.43964422,91.43884892,100,27.06480305,0.25,0.924396442,0.914388489,1
1,Random Forest,0.77,0.1,0.01,93.32909784,92.43085881,99.92132179,29.47903431,0.25,0.933290978,0.924308588,0.999213218
2,Random Forest,0.77,0.1,0.01,91.7407878,90.77912795,99.92132179,25.34942821,0.25,0.917407878,0.90779128,0.999213218
3,Random Forest,0.77,0.1,0.01,90.53367217,89.50704225,100,23.31639136,0.25,0.905336722,0.895070423,1
4,Random Forest,0.77,0.1,0.01,89.83481576,88.81900769,100,22.49047014,0.25,0.898348158,0.888190077,1
5,Random Forest,0.77,0.1,0.01,91.04193139,90.01416431,100,24.52350699,0.25,0.910419314,0.900141643,1
6,Random Forest,0.77,0.1,0.01,90.78780178,89.75988701,100,23.25285896,0.25,0.907878018,0.89759887,1
7,Random Forest,0.77,0.1,0.01,91.99491741,91.03942652,99.92132179,26.42947903,0.25,0.919949174,0.910394265,0.999213218
8,Random Forest,0.77,0.1,0.01,91.8678526,90.85060758,100,26.36594663,0.25,0.918678526,0.908506076,1
9,Random Forest,0.77,0.1,0.01,87.4205845,86.57123381,99.92132179,18.04320203,0.25,0.874205845,0.865712338,0.999213218
10,Random Forest,0.77,0.1,0.01,92.24904701,91.24192391,100,27.25540025,0.25,0.92249047,0.912419239,1
11,Random Forest,0.77,0.1,0.01,90.97839898,89.95046001,100,25.0317662,0.25,0.90978399,0.8995046,1
12,Random Forest,0.77,0.1,0.01,91.23252859,90.20581973,100,24.01524778,0.25,0.912325286,0.902058197,1
13,Random Forest,0.77,0.1,0.01,93.51969504,92.57101238,100,29.2884371,0.25,0.93519695,0.925710124,1
14,Random Forest,0.77,0.1,0.01,91.4866582,91.16582187,99.05586153,27.38246506,0.25,0.914866582,0.911658219,0.990558615
15,Random Forest,0.77,0.1,0.01,90.78780178,89.81612447,99.92132179,25.22236341,0.25,0.907878018,0.898161245,0.999213218
16,Random Forest,0.77,0.1,0.01,91.4866582,90.46263345,100,25.92121982,0.25,0.914866582,0.904626335,1
17,Random Forest,0.77,0.1,0.01,89.70775095,88.80335899,99.84264359,21.79161372,0.25,0.89707751,0.88803359,0.998426436
18,Random Forest,0.77,0.1,0.01,91.93138501,91.03299857,99.84264359,26.04828463,0.25,0.91931385,0.910329986,0.998426436
19,Random Forest,0.77,0.1,0.01,87.4205845,86.52144316,100,19.88564168,0.25,0.874205845,0.865214432,1
,Random Forest,0.8,0.3,0.03,96.12452351,95.42042042,100,49.17407878,0.5,0.961245235,0.954204204,1
,Random Forest,0.8,0.3,0.03,96.12452351,95.42042042,100,49.23761118,0.5,0.961245235,0.954204204,1
,Random Forest,0.8,0.3,0.03,95.23506989,94.42793462,100,48.85641677,0.5,0.952350699,0.944279346,1
,Random Forest,0.8,0.3,0.03,95.61626429,94.85074627,100,48.15756036,0.5,0.956162643,0.948507463,1
,Random Forest,0.8,0.3,0.03,96.56925032,95.9245283,100,50.82592122,0.5,0.965692503,0.959245283,1
,Random Forest,0.8,0.3,0.03,95.9339263,95.27381845,99.92132179,49.55527319,0.5,0.959339263,0.952738185,0.999213218
,Random Forest,0.8,0.3,0.03,96.50571792,95.85218703,100,51.33418043,0.5,0.965057179,0.95852187,1
,Random Forest,0.8,0.3,0.03,96.06099111,95.34883721,100,49.36467598,0.5,0.960609911,0.953488372,1
,Random Forest,0.8,0.3,0.03,95.8703939,95.13473054,100,48.53875476,0.5,0.958703939,0.951347305,1
,Random Forest,0.8,0.3,0.03,95.36213469,94.63487332,99.92132179,48.72935197,0.5,0.953621347,0.946348733,0.999213218
,Random Forest,0.8,0.3,0.03,97.07750953,96.57794677,99.92132179,53.17662008,0.5,0.970775095,0.965779468,0.999213218
,Random Forest,0.8,0.3,0.03,96.06099111,95.34883721,100,49.49174079,0.5,0.960609911,0.953488372,1
,Random Forest,0.8,0.3,0.03,96.50571792,95.85218703,100,49.36467598,0.5,0.965057179,0.95852187,1
,Random Forest,0.8,0.3,0.03,95.36213469,94.56845238,100,48.22109276,0.5,0.953621347,0.945684524,1
,Random Forest,0.8,0.3,0.03,97.01397713,96.4339909,100,51.52477764,0.5,0.970139771,0.964339909,1
,Random Forest,0.8,0.3,0.03,95.7433291,94.99252616,100,48.47522236,0.5,0.957433291,0.949925262,1
,Random Forest,0.8,0.3,0.03,95.9974587,95.27736132,100,48.34815756,0.5,0.959974587,0.952773613,1
,Random Forest,0.8,0.3,0.03,95.42566709,94.63886821,100,48.66581957,0.5,0.954256671,0.946388682,1
,Random Forest,0.8,0.3,0.03,96.31512071,95.70459683,99.92132179,51.20711563,0.5,0.963151207,0.957045968,0.999213218
,Random Forest,0.8,0.3,0.03,96.44218551,95.77995479,100,52.09656925,0.5,0.964421855,0.957799548,1
,Random Forest,0.9,0.4,0.1,98.85641677,98.60356866,100,76.87420584,0.75,0.988564168,0.986035687,1
