model,config,effort,small accuracy,precision,recall,accuracy,F1-Score
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.25,0.830715532,0.532258065,0.326732673,83.0715532,0.404907975
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.25,0.835951134,0.641025641,0.238095238,83.5951134,0.347222222
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.25,0.855148342,0.557894737,0.563829787,85.5148342,0.560846561
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.25,0.848167539,0.657142857,0.234693878,84.8167539,0.345864662
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.25,0.835951134,0.561403509,0.316831683,83.5951134,0.405063291
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.25,0.811518325,0.507246377,0.321100917,81.1518325,0.393258427
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.25,0.841186736,0.666666667,0.25,84.1186736,0.363636364
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.25,0.841186736,0.622641509,0.317307692,84.1186736,0.420382165
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.25,0.837696335,0.621621622,0.225490196,83.7696335,0.330935252
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.25,0.820244328,0.481481481,0.257425743,82.0244328,0.335483871
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.25,0.832460733,0.518518519,0.285714286,83.2460733,0.368421053
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.25,0.839441536,0.581395349,0.252525253,83.9441536,0.352112677
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.25,0.834205934,0.621621622,0.221153846,83.4205934,0.326241135
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.25,0.827225131,0.541666667,0.252427184,82.7225131,0.344370861
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.25,0.862129145,0.68,0.350515464,86.2129145,0.462585034
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.25,0.80104712,0.423728814,0.520833333,80.104712,0.46728972
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.25,0.839441536,0.587301587,0.359223301,83.9441536,0.445783132
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.25,0.846422339,0.596491228,0.343434343,84.6422339,0.435897436
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.25,0.821989529,0.565217391,0.240740741,82.1989529,0.337662338
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.25,0.835951134,0.625,0.196078431,83.5951134,0.298507462
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.5,0.832460733,0.657894737,0.328947368,83.2460733,0.438596491
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.5,0.829842932,0.52,0.388059701,82.9842932,0.444444444
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.5,0.861256545,0.5,0.509433962,86.1256545,0.504672897
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.5,0.840314136,0.580645161,0.272727273,84.0314136,0.371134021
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.5,0.853403141,0.681818182,0.416666667,85.3403141,0.51724138
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.5,0.861256545,0.625,0.396825397,86.1256545,0.485436893
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.5,0.85078534,0.571428571,0.322580645,85.078534,0.412371134
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.5,0.837696335,0.547619048,0.348484848,83.7696335,0.425925926
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.5,0.85078534,0.55,0.360655738,85.078534,0.435643565
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.5,0.845549738,0.65625,0.304347826,84.5549738,0.415841584
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.5,0.832460733,0.676470588,0.302631579,83.2460733,0.418181818
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.5,0.858638743,0.714285714,0.362318841,85.8638743,0.480769231
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.5,0.832460733,0.431818182,0.327586207,83.2460733,0.37254902
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.5,0.845549738,0.7,0.295774648,84.5549738,0.415841584
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.5,0.858638743,0.604651163,0.412698413,85.8638743,0.490566038
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.5,0.837696335,0.612903226,0.275362319,83.7696335,0.38
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.5,0.821989529,0.545454545,0.171428571,82.1989529,0.260869565
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.5,0.837696335,0.5,0.241935484,83.7696335,0.326086957
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.5,0.848167539,0.7,0.3,84.8167539,0.42
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.5,0.832460733,0.65,0.185714286,83.2460733,0.288888889
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.75,0.853403141,0.6,0.454545455,85.3403141,0.51724138
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.75,0.832460733,0.52,0.393939394,83.2460733,0.448275862
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.75,0.806282723,0.615384615,0.372093023,80.6282723,0.463768116
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.75,0.837696335,0.625,0.285714286,83.7696335,0.392156863
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.75,0.87434555,0.578947368,0.407407407,87.434555,0.478260869
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.75,0.837696335,0.444444444,0.428571429,83.7696335,0.436363636
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.75,0.853403141,0.764705882,0.351351351,85.3403141,0.481481481
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.75,0.884816754,0.684210526,0.448275862,88.4816754,0.541666667
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.75,0.848167539,0.714285714,0.285714286,84.8167539,0.408163266
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.75,0.837696335,0.5625,0.272727273,83.7696335,0.367346939
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.75,0.842931937,0.5,0.333333333,84.2931937,0.4
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.75,0.842931937,0.692307692,0.45,84.2931937,0.545454545
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.75,0.811518325,0.333333333,0.333333333,81.1518325,0.333333333
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.75,0.785340314,0.590909091,0.288888889,78.5340314,0.388059702
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.75,0.858638743,0.571428571,0.4,85.8638743,0.470588235
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.75,0.858638743,0.684210526,0.382352941,85.8638743,0.490566038
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.75,0.858638743,0.52173913,0.428571429,85.8638743,0.470588235
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.75,0.858638743,0.846153846,0.305555556,85.8638743,0.448979592
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.75,0.858638743,0.555555556,0.5,85.8638743,0.52631579
random-forest,"['VAE', 'CS', 'SSIM', 'CPL']",0.75,0.837696335,0.4375,0.24137931,83.7696335,0.311111111
