,accuracy,_precision,_recall,human effort,threshold,F1-Score,small accuracy,precision,recall
0,80.60965284,81.07876712,99.16230366,0.25,0.043639423,0.892133773,0.806096528,0.810787671,0.991623037
1,80.27095682,80.33898305,99.89462592,0.25,0.032471561,0.890558948,0.802709568,0.803389831,0.998946259
2,80.18628281,80.54841474,99.26082365,0.25,0.043834853,0.889309366,0.801862828,0.805484147,0.992608237
3,81.79508891,81.8490246,99.89648033,0.25,0.034276087,0.8997669,0.817950889,0.818490246,0.998964803
4,80.60965284,80.60965284,100,0.25,0.026138492,0.892639475,0.806096528,0.806096528,1
5,80.44030483,81.47186147,98.22546973,0.25,0.051442726,0.890676763,0.804403048,0.814718615,0.982254697
6,79.17019475,83.41056534,93.07135471,0.25,0.079336891,0.879765396,0.791701948,0.834105653,0.930713547
7,80.69432684,81.06255356,99.26547744,0.25,0.04409418,0.89245283,0.806943268,0.810625536,0.992654774
8,80.77900085,81.1965812,99.26854754,0.25,0.043639423,0.893276916,0.807790009,0.811965812,0.992685475
9,80.94834886,80.94834886,100,0.25,0.034447383,0.894712213,0.809483489,0.809483489,1
10,80.35563082,80.39049236,99.89451477,0.25,0.035970654,0.890874882,0.803556308,0.803904924,0.998945148
11,80.94834886,81.00084818,99.89539749,0.25,0.034276087,0.894613583,0.809483489,0.810008482,0.998953975
12,80.77900085,81.07876712,99.37040923,0.25,0.044316666,0.892975012,0.807790009,0.810787671,0.993704092
13,80.77900085,81.07876712,99.37040923,0.25,0.045232271,0.892975012,0.807790009,0.810787671,0.993704092
14,79.59356478,79.66101695,99.89373007,0.25,0.032471561,0.886374352,0.795935648,0.79661017,0.998937301
15,81.79508891,82.62748487,98.55670103,0.25,0.049103561,0.898918665,0.817950889,0.826274849,0.98556701
16,80.86367485,80.86367485,100,0.25,0.026138492,0.894194757,0.808636749,0.808636749,1
17,80.10160881,80.39215686,99.47257384,0.25,0.040077029,0.889203206,0.801016088,0.803921569,0.994725738
18,81.45639289,81.61702128,99.68814969,0.25,0.036869223,0.897519888,0.814563929,0.816170213,0.996881497
19,80.27095682,81.35299219,98.11715481,0.25,0.05098118,0.8895211,0.802709568,0.813529922,0.981171548
20,82.33799238,82.77634961,99.22958398,0.5,0.043274564,0.902592852,0.823379924,0.827763496,0.99229584
21,79.92376112,80.33419023,99.20634921,0.5,0.045802816,0.887784091,0.799237611,0.803341902,0.992063492
22,81.19440915,81.17048346,100,0.5,0.035227579,0.896067416,0.811944092,0.811704835,1
23,81.32147395,81.72458172,99.21875,0.5,0.045802816,0.896259704,0.81321474,0.817245817,0.9921875
24,78.14485388,78.70967742,98.86547812,0.5,0.045802816,0.876436782,0.781448539,0.787096774,0.988654781
25,79.92376112,79.92376112,100,0.5,0.034447383,0.888418079,0.799237611,0.799237611,1
26,81.19440915,81.27388535,99.84350548,0.5,0.034276087,0.896067416,0.811944092,0.812738854,0.998435055
27,79.2884371,79.23566879,100,0.5,0.034706528,0.884150675,0.792884371,0.792356688,1
28,81.19440915,81.27388535,99.84350548,0.5,0.034276087,0.896067416,0.811944092,0.812738854,0.998435055
29,80.30495553,80.25477707,100,0.5,0.034706528,0.890459364,0.803049555,0.802547771,1
30,80.94027954,81.44329897,99.05956113,0.5,0.045802816,0.893917963,0.809402795,0.81443299,0.990595611
