,accuracy_big,precision,recall,human effort,accuracy,F1-Score
0,70,70,100,0.25,0.7,0.823529412
1,56.28571429,77.05882353,53.46938776,0.25,0.562857143,0.631325301
2,70,70,100,0.25,0.7,0.823529412
3,70,70,100,0.25,0.7,0.823529412
4,58.85714286,77.90055249,57.55102041,0.25,0.588571429,0.661971831
5,70,70,100,0.25,0.7,0.823529412
6,70,70,100,0.25,0.7,0.823529412
7,56.28571429,77.05882353,53.46938776,0.25,0.562857143,0.631325301
8,59.71428571,77.65957447,59.59183673,0.25,0.597142857,0.674364896
10,72.28571429,77.20588235,85.71428571,0.25,0.722857143,0.81237911
13,70,70,100,0.25,0.7,0.823529412
14,70,70,100,0.25,0.7,0.823529412
16,70,70,100,0.25,0.7,0.823529412
20,70,70,100,0.5,0.7,0.823529412
22,72,75.78947368,88.16326531,0.5,0.72,0.81509434
23,61.71428571,77.6119403,63.67346939,0.5,0.617142857,0.69955157
24,70,70,100,0.5,0.7,0.823529412
25,71.42857143,77.35849057,83.67346939,0.5,0.714285714,0.803921569
26,71.71428571,77.03703704,84.89795918,0.5,0.717142857,0.80776699
28,70.57142857,77.30769231,82.04081633,0.5,0.705714286,0.796039604
29,70,70,100,0.5,0.7,0.823529412
33,70,70,100,0.5,0.7,0.823529412
34,70,70,100,0.5,0.7,0.823529412
37,70,70,100,0.5,0.7,0.823529412
38,70,70,100,0.5,0.7,0.823529412
39,63.14285714,77.61904762,66.53061224,0.5,0.631428571,0.716483516
40,72,76.72727273,86.12244898,0.75,0.72,0.811538462
42,70,70,100,0.75,0.7,0.823529412
44,71.71428571,74.66216216,90.20408163,0.75,0.717142857,0.817005545
46,72.28571429,77.20588235,85.71428571,0.75,0.722857143,0.81237911
47,70,70,100,0.75,0.7,0.823529412
48,70,70,100,0.75,0.7,0.823529412
49,70,70,100,0.75,0.7,0.823529412
50,70,70,100,0.75,0.7,0.823529412
51,70,70,100,0.75,0.7,0.823529412
52,72,75.78947368,88.16326531,0.75,0.72,0.81509434
53,71.71428571,71.47058824,99.18367347,0.75,0.717142857,0.830769231
56,70,70,100,0.75,0.7,0.823529412
57,67.42857143,77.87234043,74.69387755,0.75,0.674285714,0.7625
