,model,threshold,split_1,split_2,accuracy_big,precision,recall,human effort,accuracy,F1-Score
20,SVM,0.8,0.25,0.01,100,100,100,0.75,1,1
27,SVM,0.8,0.25,0.01,99.71428571,99.59349593,100,0.75,0.997142857,0.99796334
24,SVM,0.8,0.25,0.01,99.71428571,99.59349593,100,0.75,0.997142857,0.99796334
28,SVM,0.8,0.25,0.01,98.28571429,97.60956175,100,0.75,0.982857143,0.987903226
30,SVM,0.8,0.25,0.01,99.42857143,99.1902834,100,0.75,0.994285714,0.995934959
50,SVM,0.8,0.1,0.03,96.85714286,95.703125,100,0.75,0.968571429,0.978043912
34,SVM,0.8,0.25,0.01,97.71428571,96.83794466,100,0.75,0.977142857,0.983935743
56,SVM,0.8,0.1,0.03,98,97.22222222,100,0.75,0.98,0.985915493
36,SVM,0.8,0.25,0.01,95.14285714,93.51145038,100,0.75,0.951428571,0.966469428
53,SVM,0.8,0.1,0.03,96.28571429,94.96124031,100,0.75,0.962857143,0.97415507
40,SVM,0.8,0.1,0.03,95.71428571,94.23076923,100,0.75,0.957142857,0.97029703
46,SVM,0.8,0.1,0.03,90.28571429,87.81362007,100,0.75,0.902857143,0.935114504
32,SVM,0.8,0.25,0.01,94.28571429,94.82071713,97.14285714,0.75,0.942857143,0.959677419
52,SVM,0.8,0.1,0.03,94,92.10526316,100,0.75,0.94,0.95890411
29,SVM,0.8,0.25,0.01,90.28571429,87.81362007,100,0.75,0.902857143,0.935114504
59,SVM,0.8,0.1,0.03,83.14285714,80.59210526,100,0.75,0.831428571,0.892531876
38,SVM,0.8,0.25,0.01,89.14285714,91.56626506,93.06122449,0.75,0.891428571,0.923076923
23,SVM,0.8,0.25,0.01,91.71428571,89.41605839,100,0.75,0.917142857,0.944123314
35,SVM,0.8,0.25,0.01,90.85714286,89.29889299,98.7755102,0.75,0.908571429,0.937984496
31,SVM,0.8,0.25,0.01,90.57142857,88.1294964,100,0.75,0.905714286,0.936902486
18,SVM,0.75,0.1,0.01,91.42857143,89.09090909,100,0.5,0.914285714,0.942307692
54,SVM,0.8,0.1,0.03,82,79.54545455,100,0.5,0.82,0.886075949
51,SVM,0.8,0.1,0.03,83.71428571,81.12582781,100,0.5,0.837142857,0.895795247
13,SVM,0.75,0.1,0.01,91.42857143,89.37728938,99.59183673,0.5,0.914285714,0.942084942
41,SVM,0.8,0.1,0.03,89.71428571,87.1886121,100,0.5,0.897142857,0.931558935
25,SVM,0.8,0.25,0.01,90.57142857,88.1294964,100,0.5,0.905714286,0.936902486
45,SVM,0.8,0.1,0.03,87.14285714,85.21126761,98.7755102,0.5,0.871428571,0.914933837
55,SVM,0.8,0.1,0.03,82.85714286,80.32786885,100,0.5,0.828571429,0.890909091
58,SVM,0.8,0.1,0.03,90,87.5,100,0.5,0.9,0.933333333
22,SVM,0.8,0.25,0.01,88.57142857,87.82287823,97.14285714,0.5,0.885714286,0.92248062
26,SVM,0.8,0.25,0.01,86,83.56164384,99.59183673,0.5,0.86,0.908752328
