model,config,effort,small accuracy,precision,small recall,accuracy,F1,F1-Score,recall
SVM,"['PSNR', 'CS', 'CPL']",0.25,0.894226104,0.907111756,0.932835821,89.4226104,0.459896983,0.919793966,93.2835821
SVM,"['PSNR', 'CS', 'CPL']",0.25,0.900533721,0.907791279,0.943536404,90.0533721,0.462659381,0.925318762,94.3536404
SVM,"['PSNR', 'CS', 'CPL']",0.25,0.908296943,0.906911142,0.957557707,90.8296943,0.465773271,0.931546542,95.7557707
SVM,"['PSNR', 'CS', 'CPL']",0.25,0.90004852,0.912572254,0.93694362,90.004852,0.462298682,0.924597364,93.694362
SVM,"['PSNR', 'CS', 'CPL']",0.25,0.90004852,0.908692476,0.938867925,90.004852,0.461766889,0.923533778,93.8867925
SVM,"['PSNR', 'CS', 'CPL']",0.25,0.898592916,0.903750885,0.945925926,89.8592916,0.462178791,0.924357582,94.5925926
SVM,"['PSNR', 'CS', 'CPL']",0.25,0.906356138,0.907647908,0.950869237,90.6356138,0.464377999,0.928755998,95.0869237
SVM,"['PSNR', 'CS', 'CPL']",0.25,0.900533721,0.904522613,0.945945946,90.0533721,0.462385321,0.924770642,94.5945946
SVM,"['PSNR', 'CS', 'CPL']",0.25,0.903930131,0.914327917,0.937878788,90.3930131,0.462976814,0.925953628,93.7878788
SVM,"['PSNR', 'CS', 'CPL']",0.25,0.907811742,0.909992913,0.953229399,90.7811742,0.46555475,0.9311095,95.3229399
SVM,"['PSNR', 'CS', 'CPL']",0.25,0.907326541,0.911594203,0.948003014,90.7326541,0.464721093,0.929442186,94.8003014
SVM,"['PSNR', 'CS', 'CPL']",0.25,0.906356138,0.916360968,0.940512048,90.6356138,0.464139725,0.92827945,94.0512048
SVM,"['PSNR', 'CS', 'CPL']",0.25,0.906841339,0.918188459,0.940164547,90.6841339,0.464523282,0.929046564,94.0164547
SVM,"['PSNR', 'CS', 'CPL']",0.25,0.902474527,0.917094644,0.934230194,90.2474527,0.462791559,0.925583118,93.4230194
SVM,"['PSNR', 'CS', 'CPL']",0.25,0.901504124,0.911699779,0.937216339,90.1504124,0.462140992,0.924281984,93.7216339
SVM,"['PSNR', 'CS', 'CPL']",0.25,0.90344493,0.898954704,0.959821429,90.344493,0.464195754,0.928391508,95.9821429
SVM,"['PSNR', 'CS', 'CPL']",0.25,0.904900534,0.912181303,0.947058824,90.4900534,0.464646465,0.92929293,94.7058824
SVM,"['PSNR', 'CS', 'CPL']",0.25,0.898592916,0.920623145,0.924050633,89.8592916,0.461166852,0.922333704,92.4050633
SVM,"['PSNR', 'CS', 'CPL']",0.25,0.910237749,0.919855596,0.945103858,91.0237749,0.466154409,0.932308818,94.5103858
SVM,"['PSNR', 'CS', 'CPL']",0.25,0.901018923,0.908037654,0.94214876,90.1018923,0.46238938,0.92477876,94.214876
SVM,"['PSNR', 'CS', 'CPL']",0.5,0.908296943,0.917926566,0.944444444,90.8296943,0.465498357,0.930996714,94.4444444
SVM,"['PSNR', 'CS', 'CPL']",0.5,0.895924309,0.912526998,0.931642778,89.5924309,0.460992908,0.921985816,93.1642778
SVM,"['PSNR', 'CS', 'CPL']",0.5,0.898835517,0.909880565,0.937360179,89.8835517,0.461707989,0.923415978,93.7360179
SVM,"['PSNR', 'CS', 'CPL']",0.5,0.908296943,0.916578669,0.94863388,90.8296943,0.466165413,0.932330826,94.863388
SVM,"['PSNR', 'CS', 'CPL']",0.5,0.8930131,0.90989011,0.927211646,89.30131,0.459234609,0.918469218,92.7211646
