,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,F1-Score,accuracy_small
58,Random Forest,0.95,0.4,0.08,99.23761118,99.06469213,100,0.75,0.995301488,0.992376112
44,Random Forest,0.95,0.4,0.08,99.04701398,98.83359253,100,0.75,0.99413375,0.99047014
56,Random Forest,0.95,0.4,0.08,98.66581957,98.374613,100,0.75,0.991806477,0.986658196
46,Random Forest,0.95,0.4,0.08,98.98348158,98.75679876,100,0.75,0.993745113,0.989834816
41,Random Forest,0.95,0.4,0.08,99.11054638,98.91050584,100,0.75,0.994522692,0.991105464
40,Random Forest,0.95,0.4,0.08,98.79288437,98.52713178,100,0.75,0.992581023,0.987928844
45,Random Forest,0.95,0.4,0.08,98.72935197,98.45081332,100,0.75,0.992193599,0.98729352
54,Random Forest,0.95,0.4,0.08,98.79288437,98.52713178,100,0.75,0.992581023,0.987928844
59,Random Forest,0.95,0.4,0.08,98.98348158,98.75679876,100,0.75,0.993745113,0.989834816
48,Random Forest,0.95,0.4,0.08,98.60228717,98.29853055,100,0.75,0.991419657,0.986022872
42,Random Forest,0.95,0.4,0.08,98.72935197,98.45081332,100,0.75,0.992193599,0.98729352
55,Random Forest,0.95,0.4,0.08,98.66581957,98.374613,100,0.75,0.991806477,0.986658196
50,Random Forest,0.95,0.4,0.08,98.34815756,97.99537394,100,0.75,0.989875389,0.983481576
51,Random Forest,0.95,0.4,0.08,98.22109276,97.84449577,100,0.75,0.989105058,0.982210928
53,Random Forest,0.95,0.4,0.08,98.34815756,97.99537394,100,0.75,0.989875389,0.983481576
57,Random Forest,0.95,0.4,0.08,98.60228717,98.29853055,100,0.75,0.991419657,0.986022872
52,Random Forest,0.95,0.4,0.08,98.09402795,97.69408148,100,0.75,0.988335925,0.98094028
43,Random Forest,0.95,0.4,0.08,98.15756036,97.76923077,100,0.75,0.988720342,0.981575604
47,Random Forest,0.95,0.4,0.08,98.34815756,98.06949807,99.92132179,0.75,0.989867498,0.983481576
49,Random Forest,0.95,0.4,0.08,98.15756036,97.76923077,100,0.75,0.988720342,0.981575604
27,Random Forest,0.85,0.25,0.15,96.06099111,95.41697971,99.92132179,0.5,0.976172175,0.960609911
33,Random Forest,0.85,0.25,0.15,96.25158831,95.77039275,99.76396538,0.5,0.977263969,0.962515883
36,Random Forest,0.85,0.25,0.15,95.36213469,94.83532934,99.68528718,0.5,0.971998466,0.953621347
24,Random Forest,0.85,0.25,0.15,95.8068615,95.33483822,99.68528718,0.5,0.974615385,0.958068615
22,Random Forest,0.85,0.25,0.15,95.55273189,94.98127341,99.76396538,0.5,0.97313891,0.955527319
29,Random Forest,0.85,0.25,0.15,95.55273189,94.84690067,99.92132179,0.5,0.973180077,0.955527319
25,Random Forest,0.85,0.25,0.15,94.98094028,94.41132638,99.68528718,0.5,0.969766552,0.949809403
21,Random Forest,0.85,0.25,0.15,95.29860229,94.69753547,99.76396538,0.5,0.97164751,0.952986023
37,Random Forest,0.85,0.25,0.15,95.17153748,94.48994788,99.84264359,0.5,0.970925784,0.951715375
31,Random Forest,0.85,0.25,0.15,94.72681067,94.1307578,99.68528718,0.5,0.968284295,0.947268107
