,original,gen,transformation,org label,trns label,label,original_name,transformed_name,VIF,MSE,PSNR,Hist_cor,Hist_int,TSI,SSIM,CS,CPL,WD,KL,VAE,machine_labels,SSS1
0,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_org_dataset\batch_3_516.png,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_gen_dataset\batch_3_516.png,brightness,car,not car,0,batch_3_516.png,batch_3_516.png,0.058051493,2.876953125,5.710803247,-0.410203443,94,0.491273239,0.234650669,0.2195073,245.58752,125.5576172,0.364799376,0.024253531,0.0,0.080094926
1,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_org_dataset\batch_2_8456.png,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_gen_dataset\batch_2_8456.png,contrast,car,car,1,batch_2_8456.png,batch_2_8456.png,0.416232413,59.43294271,14.33558442,0.223243253,307,0.783940802,0.431891225,0.61344886,115.54714,39.046875,10.0,0.003131005,1.0,0.06590557
2,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_org_dataset\batch_3_444.png,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_gen_dataset\batch_3_444.png,brightness,car,car,1,batch_3_444.png,batch_3_444.png,0.092295045,7.024739583,7.779449714,-0.067458786,434,0.377898728,0.512084911,0.2483866,341.51654,77.72753906,0.126535766,0.036730329,1.0,0.04963373
3,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_org_dataset\batch_3_4211.png,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_gen_dataset\batch_3_4211.png,jpeg_compression,car,car,1,batch_3_4211.png,batch_3_4211.png,0.467971239,35.34700521,20.57800667,0.545986028,722,0.027452299,0.988841458,0.84157383,40.718906,3.059570313,0.000343165,0.020934444,1.0,0.021382838
4,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_org_dataset\batch_4_2530.png,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_gen_dataset\batch_4_2530.png,frost,not car,not car,1,batch_4_2530.png,batch_4_2530.png,0.347393414,17.39127604,12.37444568,-0.037171989,378,0.704507094,0.640940912,0.6112693,68.44016,50.84277344,10.0,0.007278092,1.0,0.06284819
5,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_org_dataset\batch_3_4003.png,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_gen_dataset\batch_3_4003.png,brightness,car,car,1,batch_3_4003.png,batch_3_4003.png,0.354744872,24.82942708,15.42305797,0.277142107,688,0.014530333,0.969826094,0.69864833,139.81068,10.63671875,0.023637989,0.043572364,1.0,0.029710246
6,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_org_dataset\batch_5_3799.png,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_gen_dataset\batch_5_3799.png,contrast,not car,not car,1,batch_5_3799.png,batch_5_3799.png,0.51394923,39.63964844,8.91824106,0.488808736,610,0.140123532,0.964360471,0.24083038,342.427,19.79785156,0.0,0.012560577,1.0,0.10696255
7,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_org_dataset\_rotated1_batch_3_6144.png,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_gen_dataset\_rotated1_batch_3_6144.png,frost,not car,car,0,_rotated1_batch_3_6144.png,_rotated1_batch_3_6144.png,0.348338125,0.069010417,10.15882655,0.344389182,302,0.028088307,0.778336967,0.5301361,413.75937,60.46875,0.506602782,0.017906452,0.0,0.015467291
8,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_org_dataset\batch_5_7380.png,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_gen_dataset\batch_5_7380.png,jpeg_compression,not car,not car,1,batch_5_7380.png,batch_5_7380.png,0.269413132,42.16438802,20.02386113,0.725043279,764,0.00645181,0.933615771,0.7132433,66.854675,1.762695313,0.005996988,0.022598082,1.0,0.042916622
9,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_org_dataset\batch_3_4508.png,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_gen_dataset\batch_3_4508.png,frost,not car,not car,1,batch_3_4508.png,batch_3_4508.png,0.272962757,77.06966146,12.09289226,0.486907322,435,0.519068004,0.475503169,0.0195247,209.30807,34.39453125,0.0,0.002854832,1.0,0.06201291
