,original,gen,transformation,VIF,MSE,PSNR,Hist_cor,Hist_int,TSI,SSIM,CS,CPL,WD,KL,VAE,label,machine_labels
0,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_org_dataset\batch_2_9745.png,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_gen_dataset\batch_2_9745.png,jpeg_compression,0.19072881,48.85351563,17.33326936,0.403479336,688,0.234264922,0.801244579,0.5535154,199.7219,4.403320313,0.0,0.016197271,1,1.0
1,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_org_dataset\batch_2_8456.png,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_gen_dataset\batch_2_8456.png,contrast,0.416232413,59.43294271,14.33558442,0.223243253,307,0.783940802,0.431891225,0.61344886,115.54714,39.046875,inf,0.003131005,1,1.0
2,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_org_dataset\batch_1_9774.png,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_gen_dataset\batch_1_9774.png,jpeg_compression,0.442824538,36.65397135,16.13961019,0.27986515,661,0.090887965,0.959734054,0.7199415,104.94302,5.731445313,0.000338453,0.039162163,1,1.0
3,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_org_dataset\batch_2_6777.png,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_gen_dataset\batch_2_6777.png,frost,0.688433493,22.14127604,28.26767964,0.790275519,765,0.092643102,0.981245935,0.80050635,30.138752,5.375976563,0.0,0.01169777,1,1.0
4,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_org_dataset\batch_5_5922.png,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_gen_dataset\batch_5_5922.png,contrast,0.36759672,51.5078125,12.44747563,0.206281381,334,0.652482877,0.489638005,0.53204715,67.02743,33.33300781,inf,0.003908928,1,1.0
5,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_org_dataset\batch_3_635.png,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_gen_dataset\batch_3_635.png,contrast,0.257842746,52.7952474,12.73802343,0.199867239,194,0.834937622,0.256057678,0.29879856,197.59238,49.94726563,inf,0.002674586,0,0.0
6,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_org_dataset\batch_3_7249.png,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_gen_dataset\batch_3_7249.png,brightness,0.071109521,2.361979167,4.592759089,-0.286844585,210,0.211038405,0.187037605,0.39289916,282.1713,133.2294922,0.287148421,0.036352401,1,1.0
7,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_org_dataset\batch_1_6064.png,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_gen_dataset\batch_1_6064.png,brightness,0.389911475,8.84765625,15.7498956,0.040335357,418,0.007931751,0.932587547,0.64233065,87.117035,24.19433594,0.349446667,0.012951459,1,1.0
8,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_org_dataset\batch_3_248.png,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_gen_dataset\batch_3_248.png,frost,0.313372174,15.7483724,14.37961147,-0.085470375,338,0.20765044,0.68496997,0.255581,117.384155,42.04296875,0.012776587,0.016927028,0,0.0
9,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_org_dataset\batch_1_6364.png,C:\Users\ASUS\Desktop\research\mitacs project\paper experiments\cifar dataset\cifar_gen_dataset\batch_1_6364.png,contrast,0.330305773,35.71907552,17.31161729,0.613387573,615,0.409215998,0.787632109,0.76516825,98.77385,15.84765625,0.0,0.008641814,1,1.0
