,transformed_image_link,original_image_link,transformation,ground_truth,human_label,IQA,original,gen,PSNR,SSIM,CPL,CS,label,machine_labels
0,https://pilotexp.s3.ca-central-1.amazonaws.com/cifar10/IMG_TRANSFORMED/brightness/batch_1_8634.png,https://pilotexp.s3.ca-central-1.amazonaws.com/cifar10/IMG_ORIGINAL/brightness/batch_1_8634.png,brightness,0,0,0.151990281,batch_1_8634.png,batch_1_8634.png,5.918133106,0.218421192,15.159552,0.4306677,0,0.0
1,https://pilotexp.s3.ca-central-1.amazonaws.com/cifar10/IMG_TRANSFORMED/frost/batch_1_2906.png,https://pilotexp.s3.ca-central-1.amazonaws.com/cifar10/IMG_ORIGINAL/frost/batch_1_2906.png,frost,0,0,0.752212723,batch_1_2906.png,batch_1_2906.png,13.89994774,0.887490399,4.5491576,0.6786375,0,0.0
2,https://pilotexp.s3.ca-central-1.amazonaws.com/cifar10/IMG_TRANSFORMED/jpeg_compression/batch_5_6824.png,https://pilotexp.s3.ca-central-1.amazonaws.com/cifar10/IMG_ORIGINAL/jpeg_compression/batch_5_6824.png,jpeg_compression,0,0,0.788594372,batch_5_6824.png,batch_5_6824.png,27.9079916,0.935677462,5.0518203,0.595914,0,0.0
3,https://pilotexp.s3.ca-central-1.amazonaws.com/cifar10/IMG_TRANSFORMED/contrast/batch_5_1291.png,https://pilotexp.s3.ca-central-1.amazonaws.com/cifar10/IMG_ORIGINAL/contrast/batch_5_1291.png,contrast,1,1,0.74051911,batch_5_1291.png,batch_5_1291.png,21.32448038,0.925213041,5.6383924,0.71818316,1,1.0
4,https://pilotexp.s3.ca-central-1.amazonaws.com/cifar10/IMG_TRANSFORMED/contrast/batch_5_8256.png,https://pilotexp.s3.ca-central-1.amazonaws.com/cifar10/IMG_ORIGINAL/contrast/batch_5_8256.png,contrast,0,0,0.836396829,batch_5_8256.png,batch_5_8256.png,21.24909749,0.955557488,2.9852335,0.8133242,0,0.0
5,https://pilotexp.s3.ca-central-1.amazonaws.com/cifar10/IMG_TRANSFORMED/brightness/batch_5_1322.png,https://pilotexp.s3.ca-central-1.amazonaws.com/cifar10/IMG_ORIGINAL/brightness/batch_5_1322.png,brightness,1,1,0.170993498,batch_5_1322.png,batch_5_1322.png,5.283053522,0.160937293,11.135418,0.33522335,1,1.0
6,https://pilotexp.s3.ca-central-1.amazonaws.com/cifar10/IMG_TRANSFORMED/contrast/batch_3_9938.png,https://pilotexp.s3.ca-central-1.amazonaws.com/cifar10/IMG_ORIGINAL/contrast/batch_3_9938.png,contrast,1,0,0.537047584,batch_3_9938.png,batch_3_9938.png,16.04061741,0.621210441,2.9260368,0.7251284,0,0.0
7,https://pilotexp.s3.ca-central-1.amazonaws.com/cifar10/IMG_TRANSFORMED/jpeg_compression/batch_3_6975.png,https://pilotexp.s3.ca-central-1.amazonaws.com/cifar10/IMG_ORIGINAL/jpeg_compression/batch_3_6975.png,jpeg_compression,0,0,0.73195014,batch_3_6975.png,batch_3_6975.png,16.25006164,0.961460066,7.0774245,0.60065395,0,0.0
8,https://pilotexp.s3.ca-central-1.amazonaws.com/cifar10/IMG_TRANSFORMED/contrast/batch_4_9311.png,https://pilotexp.s3.ca-central-1.amazonaws.com/cifar10/IMG_ORIGINAL/contrast/batch_4_9311.png,contrast,0,0,0.654468815,batch_4_9311.png,batch_4_9311.png,9.339588596,0.916763544,4.022476,0.59982413,0,0.0
9,https://pilotexp.s3.ca-central-1.amazonaws.com/cifar10/IMG_TRANSFORMED/contrast/batch_3_788.png,https://pilotexp.s3.ca-central-1.amazonaws.com/cifar10/IMG_ORIGINAL/contrast/batch_3_788.png,contrast,0,0,0.700873321,batch_3_788.png,batch_3_788.png,12.77003137,0.820529035,8.64522,0.62736565,0,0.0
