,original,gen,PSNR,CS,CPL,SSIM,label
1298,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_18763071_677.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\light\images\7815_18763071_677_torchvision.jpg,16.2687127,0.38328174,113.49282,0.715780232,Lost
1299,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\4520_2277F971_344.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\moderate\images\4520_2277F971_344_torchvision.jpg,21.27437792,0.89122134,22.483025,0.892241172,Ok
1300,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\4520_2078H441_195.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\4520_2078H441_195_torchvision.jpg,16.60755851,0.58655846,44.783978,0.929329056,Lost
1301,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1678H971_20200514_OH01_DG06_2_33.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\high\images\1678H971_20200514_OH01_DG06_2_33_torchvision.jpg,23.90315855,0.8695466,27.327526,0.90784521,Ok
1302,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_18763071_677.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\7815_18763071_677_torchvision.jpg,19.94920433,0.85723364,31.074621,0.860039337,Ok
1303,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\4520_21771861_235.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\light\images\4520_21771861_235_torchvision.jpg,14.45537597,0.66966325,37.85655,0.837904259,Ok
1304,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\4520_3076S741_581.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\moderate\images\4520_3076S741_581_torchvision.jpg,23.12598336,0.8148515,21.173697,0.90281309,Ok
1305,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1673E672_20200416_OH01_DG06_2_8.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\light\images\1673E672_20200416_OH01_DG06_2_8_torchvision.jpg,23.65860515,0.6916619,36.796844,0.918815561,Ok
1306,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_1473Z411_602.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\7815_1473Z411_602_torchvision.jpg,15.62557693,0.8150281,24.681387,0.828674002,Ok
1307,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_1677A421_637.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\light\images\7815_1677A421_637_torchvision.jpg,12.82286793,0.5662265,60.170677,0.78669432,Lost
1308,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_1479Y162_606.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\7815_1479Y162_606_torchvision.jpg,12.04842399,0.19083734,11.609433,0.796094055,Lost
1309,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_2174A062_794.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\7815_2174A062_794_torchvision.jpg,15.53942047,0.68164265,22.581348,0.815887951,Lost
1310,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\4520_2373R063_417.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\high\images\4520_2373R063_417_torchvision.jpg,17.14651543,0.7297176,45.67354,0.599458774,Ok
1311,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1974X943_20200513_OH01_DG06_2_3.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\high\images\1974X943_20200513_OH01_DG06_2_3_torchvision.jpg,15.13769667,0.75195915,34.806168,0.871150439,Ok
1312,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_1673S341_628.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\7815_1673S341_628_torchvision.jpg,13.54593865,0.5634867,80.78391,0.883162839,Lost
1313,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1676Z713_20200403_OH01_DG06_2_18.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\moderate\images\1676Z713_20200403_OH01_DG06_2_18_torchvision.jpg,15.45676063,0.6604012,60.425304,0.827046234,Ok
1314,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1775D301_20200403_OH01_DG06_2_20.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\1775D301_20200403_OH01_DG06_2_20_torchvision.jpg,12.87439807,0.459619,100.64482,0.67191976,Lost
1315,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1674Z011_20200416_OH01_DG06_2_14.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\light\images\1674Z011_20200416_OH01_DG06_2_14_torchvision.jpg,18.58837922,0.82939476,45.516212,0.75106375,Ok
1316,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\4520_2973A091_566.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\light\images\4520_2973A091_566_torchvision.jpg,14.624546,0.25837296,85.91892,0.649243678,Lost
1317,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1674Z812_20200416_OH01_DG06_2_21.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\moderate\images\1674Z812_20200416_OH01_DG06_2_21_torchvision.jpg,9.508134262,0.084512256,139.08371,0.409238798,Lost
1318,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\4520_2578E301_510.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\moderate\images\4520_2578E301_510_torchvision.jpg,24.00156603,0.87770396,5.765321,0.946359913,Ok
1319,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\2074P282_20200512_OH01_DG06_2_31.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\2074P282_20200512_OH01_DG06_2_31_torchvision.jpg,13.36130779,0.70639986,48.225044,0.67671238,Ok
1320,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\4520_2276E571_337.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\4520_2276E571_337_torchvision.jpg,22.75475717,0.634004,28.085663,0.873963108,Ok
1321,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\4520_2373A683_414.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\light\images\4520_2373A683_414_torchvision.jpg,17.82334116,0.6175033,54.23072,0.721099186,Lost
1322,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_2075E523_762.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\light\images\7815_2075E523_762_torchvision.jpg,12.44851593,0.73842144,39.34498,0.83071682,Ok
1323,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_2074B101_729.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\7815_2074B101_729_torchvision.jpg,21.25168522,0.8811256,18.543766,0.900871826,Ok
1324,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1678F614_20200514_OH01_DG06_2_13.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\1678F614_20200514_OH01_DG06_2_13_torchvision.jpg,18.93637063,0.8399466,34.20762,0.878867264,Ok
1325,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\4520_2272X161_272.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\moderate\images\4520_2272X161_272_torchvision.jpg,11.5953844,0.7321644,24.528557,0.791229756,Ok
1326,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_1675Z631_634.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\moderate\images\7815_1675Z631_634_torchvision.jpg,9.470916522,0.13433753,131.42696,0.464078609,Lost
1327,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\4520_2178Z921_239.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\moderate\images\4520_2178Z921_239_torchvision.jpg,18.62410732,0.7575536,22.030098,0.888794322,Ok
1328,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\4520_24683302_455.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\4520_24683302_455_torchvision.jpg,16.06808491,0.26079872,86.714584,0.662678597,Lost
1329,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\4520_2479G352_482.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\high\images\4520_2479G352_482_torchvision.jpg,17.6359696,0.7534167,37.495766,0.883606265,Ok
1330,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\4520_2278P901_354.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\4520_2278P901_354_torchvision.jpg,22.53862345,0.88708705,22.246628,0.885113727,Ok
1331,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1974X954_20200513_OH01_DG06_2_1.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\moderate\images\1974X954_20200513_OH01_DG06_2_1_torchvision.jpg,17.20489519,0.71862805,33.830997,0.876317499,Lost
1332,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\4520_2974F291_570.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\4520_2974F291_570_torchvision.jpg,17.97405031,0.90025556,15.241602,0.881666545,Ok
1333,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\4520_2275D513_315.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\4520_2275D513_315_torchvision.jpg,17.4592455,0.8465547,34.335926,0.846523058,Ok
1334,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\4520_23684192_377.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\4520_23684192_377_torchvision.jpg,18.59881248,0.5770789,48.460457,0.816073014,Lost
1335,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_1673Q411_627.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\moderate\images\7815_1673Q411_627_torchvision.jpg,23.75675042,0.8400309,18.42091,0.938881584,Ok
1336,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1778D521_20200514_OH01_DG06_2_15.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\light\images\1778D521_20200514_OH01_DG06_2_15_torchvision.jpg,12.8758811,0.03752607,72.452156,0.445855859,Lost
1337,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_2075E421_761.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\light\images\7815_2075E421_761_torchvision.jpg,19.46271455,0.8755604,30.733576,0.843242525,Ok
1338,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_2173F702_785.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\7815_2173F702_785_torchvision.jpg,20.99418319,0.64390564,42.625244,0.945310875,Lost
1339,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\4520_2570S101_498.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\moderate\images\4520_2570S101_498_torchvision.jpg,9.673488929,0.25172934,82.757034,0.634727623,Lost
