,Unnamed: 0,original,gen,PSNR,CS,CPL,SSIM,label,machine_labels,VIF,SSS1,KL,TSI,WD,Hist_cor,Hist_int,MSE
0,2494,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\2074P713_20200513_OH01_DG06_2_32.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\2074P713_20200513_OH01_DG06_2_32_torchvision.jpg,16.10573012,0.8433773,36.11857,0.793815803,1,1.0,0.369671771,0.047133658,0.967794491,0.488203278,27.20064697,0.053350277,76989,57.49047852
1,3636,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\4592_7998A981_594.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\4592_7998A981_594_torchvision.jpg,25.47678221,0.9186852,9.723008,0.956862934,1,1.0,0.46293142,0.011520738,0.03095248,0.253932241,3.813366699,0.136100712,37054,14.97109172
2,1560,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_1571F492_607.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\moderate\images\7815_1571F492_607_torchvision.jpg,10.72872908,0.17919107,92.33185,0.581638224,0,0.0,0.136225346,0.044640623,-0.038970659,4.689187867,35.71221313,-0.080214544,61215,89.50070801
3,1065,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_2074P693_749.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\7815_2074P693_749_torchvision.jpg,17.91659805,0.92518896,12.184692,0.921464525,1,1.0,0.445974405,0.004174025,1.391787601,0.468676614,15.61983643,0.254180463,59192,63.90789185
4,42,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1578X721_20200409_OH01_DG06_2_16.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\1578X721_20200409_OH01_DG06_2_16_torchvision.jpg,14.89616594,0.68987644,46.548195,0.788036678,1,1.0,0.284907835,0.027934019,0.479387868,2.84540729,11.63580322,0.504439879,99339,39.72223307
5,2087,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\2074D021_20200512_OH01_DG06_2_1.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\light\images\2074D021_20200512_OH01_DG06_2_1_torchvision.jpg,14.42742305,0.44114617,37.252174,0.719766968,0,0.0,0.153718167,0.015536762,inf,4.571422456,16.7848999,0.153533777,47474,46.63401896
6,527,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\4520_1679Z581_182.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\moderate\images\4520_1679Z581_182_torchvision.jpg,14.77377883,0.79738104,67.16031,0.72361975,1,1.0,0.345820639,0.060310528,inf,1.616371086,23.69018555,0.763358866,109977,10.9847229
7,1375,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_2176P921_833.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\light\images\7815_2176P921_833_torchvision.jpg,17.36414902,0.6625556,45.506565,0.780454509,1,1.0,0.381964189,0.01654002,2.532594473,2.545437867,24.28696899,0.037351535,29107,89.51575317
8,1904,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\4520_2479W462_486.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\light\images\4520_2479W462_486_torchvision.jpg,24.50262576,0.9319044,18.05987,0.882604146,1,1.0,0.465180643,0.026388628,0.373287467,0.613509051,6.83638916,0.796206114,108960,48.15130005
9,3301,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\4520_2366D551_365.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\4520_2366D551_365_torchvision.jpg,9.500116411,0.07703941,131.9509,0.444137282,0,0.0,0.022786466,0.111934386,inf,7.386527642,20.89483643,-0.080035378,68085,65.5778951
10,364,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1778S292_20200514_OH01_DG06_2_7.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\high\images\1778S292_20200514_OH01_DG06_2_7_torchvision.jpg,15.01697184,0.6405039,51.12178,0.830120382,1,1.0,0.268848574,0.026704494,0.334092617,0.389554795,29.25576172,-0.012052287,27459,53.63788859
11,1669,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1679R341_20200409_OH01_DG06_2_11.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\moderate\images\1679R341_20200409_OH01_DG06_2_11_torchvision.jpg,20.19542044,0.74259263,36.320045,0.886773304,1,1.0,0.28772425,0.031487968,0.103234795,0.350152886,5.490844727,0.933503364,136190,9.236053467
12,2132,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_1775G332_660.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\7815_1775G332_660_torchvision.jpg,15.06976406,0.10169417,62.80298,0.813076872,0,0.0,0.040030793,0.028171308,inf,1.483573875,18.99162598,0.658336508,81927,70.64967448
