,original,gen,PSNR,CS,CPL,SSIM,label,VIF
0,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_18763071_677.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\light\images\7815_18763071_677_torchvision.jpg,16.2687127,0.38328174,113.49282,0.715780232,0,0.18478226117502125
1,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\4520_2277F971_344.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\moderate\images\4520_2277F971_344_torchvision.jpg,21.27437792,0.89122134,22.483025,0.892241172,1,0.45085030396172243
2,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\4520_2078H441_195.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\moderate\images\4520_2078H441_195_torchvision.jpg,16.60755851,0.58655846,44.783978,0.929329056,0,0.3731026646244117
3,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1678H971_20200514_OH01_DG06_2_33.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\high\images\1678H971_20200514_OH01_DG06_2_33_torchvision.jpg,23.90315855,0.8695466,27.327526,0.90784521,1,0.45810574304810103
4,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_18763071_677.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\7815_18763071_677_torchvision.jpg,19.94920433,0.85723364,31.074621,0.860039337,1,0.3483028655420046
5,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\4520_21771861_235.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\light\images\4520_21771861_235_torchvision.jpg,14.45537597,0.66966325,37.85655,0.837904259,1,0.32104048612609204
6,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\4520_3076S741_581.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\moderate\images\4520_3076S741_581_torchvision.jpg,23.12598336,0.8148515,21.173697,0.90281309,1,0.36198334957407047
7,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1673E672_20200416_OH01_DG06_2_8.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\light\images\1673E672_20200416_OH01_DG06_2_8_torchvision.jpg,23.65860515,0.6916619,36.796844,0.918815561,1,0.33536516970070845
8,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_1473Z411_602.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\7815_1473Z411_602_torchvision.jpg,15.62557693,0.8150281,24.681387,0.828674002,1,0.38843918290995005
9,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\7815_1677A421_637.jpg,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\light\images\7815_1677A421_637_torchvision.jpg,12.82286793,0.5662265,60.170677,0.78669432,0,0.275690291365484
