,Unnamed: 0,original,gen,PSNR,CS,CPL,SSIM,label,Hist_correlation,Hist_intersection,KL,MSE,WD,TSI,SSS1,VAE,VIF,VAE2D
429,248,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1578H763_20200409_OH01_DG06_2_10.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\high\images\1578H763_20200409_OH01_DG06_2_10_torchvision.jpg,13.47894278,0.85690033,30.845636,0.795747993,1,0.419149233,88169,0.667370524,87.75898234,37.19471436,0.867734834,0.018762952,0.074357964,0.390618668,0.031005212
581,110,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1578H763_20200409_OH01_DG06_2_9.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\light\images\1578H763_20200409_OH01_DG06_2_9_torchvision.jpg,18.13441853,0.7621526,44.397514,0.843915238,1,0.349047339,70099,0.973205199,91.39075317,22.89799194,2.345651908,0.029659195,0.040244348,0.428875456,0.01655615
0,452,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1578X721_20200409_OH01_DG06_2_13.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\1578X721_20200409_OH01_DG06_2_13_torchvision.jpg,20.50433599,0.90033543,19.346287,0.870654968,1,0.559437889,96316,0.546580291,41.03159993,17.15194092,0.854684442,0.020724682,0.065760578,0.456094041,0.016387408
138,563,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1578X721_20200409_OH01_DG06_2_13.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\1578X721_20200409_OH01_DG06_2_13_torchvision.jpg,25.17442746,0.9336917,12.085709,0.915652691,1,0.672506159,110677,inf,4.943017578,9.838812256,0.237891389,0.014596672,0.036448271,0.471217772,0.027296269
1,1076,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1578X721_20200409_OH01_DG06_2_16.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\1578X721_20200409_OH01_DG06_2_16_torchvision.jpg,17.46972056,0.8725205,21.199543,0.880233733,1,0.17555062,82591,0.81929688,33.79042562,23.18928223,0.160665362,0.009732787,0.056556995,0.42007171,0.018961984
2,1044,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1578X721_20200409_OH01_DG06_2_25.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\1578X721_20200409_OH01_DG06_2_25_torchvision.jpg,19.41132989,0.91389537,5.4034896,0.938178808,1,0.163612021,53846,1.236240427,24.69259033,20.31309204,0.139175636,0.001845187,0.025481615,0.396194241,0.013132916
3,987,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1578X721_20200409_OH01_DG06_2_26.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\high\images\1578X721_20200409_OH01_DG06_2_26_torchvision.jpg,13.9072007,0.7856539,45.89624,0.714760078,1,-0.082821753,71675,0.928219052,63.54116414,34.41233521,1.419233121,0.05331612,0.097220578,0.310828298,0.043534364
582,708,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1578X721_20200409_OH01_DG06_2_26.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add rain\light\images\1578X721_20200409_OH01_DG06_2_26_torchvision.jpg,13.99621769,0.81157756,61.16787,0.60929156,1,0.15094319,88045,0.644153674,83.52337443,37.31274414,3.682430284,0.053890076,0.108203461,0.371195293,0.046932025
139,443,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1578X721_20200409_OH01_DG06_2_27.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add fog\light\images\1578X721_20200409_OH01_DG06_2_27_torchvision.jpg,20.65876853,0.930228,11.873102,0.928009318,1,0.164833532,60748,1.292677145,21.08862508,18.38171997,0.174223337,0.01401644,0.045317621,0.478041159,0.017110638
860,576,C:\Users\ASUS\Desktop\research\mitacs project\dataset\original_dataset\1578X721_20200409_OH01_DG06_2_27.JPG,C:\Users\ASUS\Desktop\research\mitacs project\dataset\generated_datasets\add snow\high\images\1578X721_20200409_OH01_DG06_2_27_torchvision.jpg,19.90169954,0.85855836,22.276415,0.916580249,1,0.307170645,73359,inf,3.657299805,19.11696777,0.326094667,0.022929627,0.022245674,0.407284116,0.009975176
